"Probability","Days","Effort"
0.000241737181965185,1,"1"
0.000483415927065245,2,"1"
0.000725036249426436,3,"1"
0.000966598163171795,4,"1"
0.00120810168242091,5,"1"
0.00144954682128984,6,"1"
0.00169093359389139,7,"1"
0.00193226201433461,8,"1"
0.00217353209672566,9,"1"
0.00241474385516682,10,"1"
0.00265589730375726,11,"1"
0.0028969924565927,12,"1"
0.00313802932776519,13,"1"
0.00337900793136381,14,"1"
0.00361992828147373,15,"1"
0.00386079039217724,16,"1"
0.00410159427755286,17,"1"
0.00434233995167577,18,"1"
0.00458302742861794,19,"1"
0.00482365672244767,20,"1"
0.00506422784722993,21,"1"
0.00530474081702648,22,"1"
0.00554519564589551,23,"1"
0.00578559234789178,24,"1"
0.00602593093706683,25,"1"
0.00626621142746853,26,"1"
0.00650643383314164,27,"1"
0.00674659816812728,28,"1"
0.00361992828147373,1,"15"
0.00722675268218453,2,"15"
0.0108205206372408,3,"15"
0.0144012794100395,4,"15"
0.0179690760928876,5,"15"
0.0215239576076207,6,"15"
0.0250659707062214,7,"15"
0.0285951619714331,8,"15"
0.0321115778173732,9,"15"
0.0356152644901431,10,"15"
0.0391062680684368,11,"15"
0.0425846344641467,12,"15"
0.0460504094229675,13,"15"
0.0495036385249976,14,"15"
0.0529443671853389,15,"15"
0.0563726406546937,16,"15"
0.0597885040199602,17,"15"
0.0631920022048251,18,"15"
0.0665831799703547,19,"15"
0.0699620819155833,20,"15"
0.0733287524781,21,"15"
0.0766832359346331,22,"15"
0.0800255764016322,23,"15"
0.0833558178358484,24,"15"
0.0866740040349129,25,"15"
0.0899801786379121,26,"15"
0.0932743851259624,27,"15"
0.0965566668227816,28,"15"
0.00722675268218453,1,"30"
0.0144012794100395,2,"30"
0.0215239576076207,3,"30"
0.0285951619714331,4,"30"
0.0356152644901431,5,"30"
0.0425846344641467,6,"30"
0.0495036385249976,7,"30"
0.0563726406546937,8,"30"
0.0631920022048251,9,"30"
0.0699620819155833,10,"30"
0.0766832359346331,11,"30"
0.0833558178358484,12,"30"
0.0899801786379121,13,"30"
0.0965566668227816,14,"30"
0.103085628354022,15,"30"
0.109567406695004,16,"30"
0.116002342826976,17,"30"
0.122390775266996,18,"30"
0.128733040085745,19,"30"
0.135029470925204,20,"30"
0.141280399016206,21,"30"
0.14748615319586,22,"30"
0.153647059924851,23,"30"
0.159763443304614,24,"30"
0.165835625094382,25,"30"
0.171863924728114,26,"30"
0.177848659331298,27,"30"
0.183790143737638,28,"30"
